Kenteken,Brandstof omschrijving,Datum eerste afgifte Nederland,cumhelp,Cumulative
ZK956N,Diesel,2020-01-01,1,1
23BPD2,Diesel,2020-01-01,1,2
66BNX1,Diesel,2020-01-01,1,3
42BNV6,Diesel,2020-01-01,1,4
24BPD2,Diesel,2020-01-01,1,5
71BPD5,Diesel,2020-01-01,1,6
H275DF,Diesel,2020-01-01,1,7
65BNX3,Diesel,2020-01-01,1,8
VDV67F,Diesel,2020-01-01,1,9
57BNX6,Diesel,2020-01-01,1,10
66BNX3,Diesel,2020-01-01,1,11
G673XF,Diesel,2020-01-01,1,12
25BPD2,Diesel,2020-01-01,1,13
70BNX6,Diesel,2020-01-01,1,14
VDH94Z,Diesel,2020-01-01,1,15
00BNX8,Diesel,2020-01-01,1,16
02BNZ8,Diesel,2020-01-01,1,17
96BPD1,Diesel,2020-01-01,1,18
G371XL,Diesel,2020-01-01,1,19
87BPB3,Diesel,2020-01-02,1,20
G983VG,Diesel,2020-01-02,1,21
VDX49R,Diesel,2020-01-02,1,22
VDL01R,Diesel,2020-01-02,1,23
H881FF,Diesel,2020-01-02,1,24
V287VZ,Diesel,2020-01-02,1,25
VDP73L,Diesel,2020-01-02,1,26
83BNZ8,Diesel,2020-01-02,1,27
45BPD9,Diesel,2020-01-02,1,28
VDT08X,Diesel,2020-01-02,1,29
VDX48R,Diesel,2020-01-02,1,30
2361ZZ,Diesel,2020-01-02,1,31
H278BT,Diesel,2020-01-02,1,32
H345BZ,Diesel,2020-01-02,1,33
VDP94N,Diesel,2020-01-02,1,34
VDH84D,Diesel,2020-01-02,1,35
DXK44H,Diesel,2020-01-02,1,36
VDS93R,Diesel,2020-01-02,1,37
20BPD9,Diesel,2020-01-02,1,38
G258ZD,Diesel,2020-01-02,1,39
VDX43R,Diesel,2020-01-02,1,40
H052FG,Diesel,2020-01-02,1,41
23BPB7,Diesel,2020-01-02,1,42
VDS16R,Diesel,2020-01-02,1,43
57BPD9,Diesel,2020-01-02,1,44
VDT30F,Diesel,2020-01-02,1,45
H793FF,Diesel,2020-01-02,1,46
H752FF,Diesel,2020-01-02,1,47
49BPD9,Diesel,2020-01-02,1,48
V935XZ,Diesel,2020-01-02,1,49
VDT60K,Diesel,2020-01-02,1,50
VDJ85V,Diesel,2020-01-02,1,51
VDX88D,Diesel,2020-01-02,1,52
VDV79V,Diesel,2020-01-02,1,53
G538ZN,Diesel,2020-01-02,1,54
61BPD9,Diesel,2020-01-02,1,55
H826DL,Diesel,2020-01-02,1,56
VDX97J,Diesel,2020-01-02,1,57
H011BG,Diesel,2020-01-02,1,58
H924FF,Diesel,2020-01-02,1,59
77BNT3,Diesel,2020-01-02,1,60
VDN95S,Diesel,2020-01-02,1,61
VDP83V,Diesel,2020-01-02,1,62
H642DT,Diesel,2020-01-02,1,63
74BNX5,Diesel,2020-01-02,1,64
VDX12P,Diesel,2020-01-02,1,65
H970FF,Diesel,2020-01-02,1,66
96BNX7,Diesel,2020-01-02,1,67
H997FF,Diesel,2020-01-02,1,68
73BPB2,Diesel,2020-01-02,1,69
H073FF,Diesel,2020-01-02,1,70
01BPB6,Diesel,2020-01-02,1,71
VDH93D,Diesel,2020-01-02,1,72
VDX81G,Diesel,2020-01-02,1,73
VBG36V,Diesel,2020-01-02,1,74
41BPB5,Diesel,2020-01-02,1,75
VDK11S,Diesel,2020-01-02,1,76
VDS92R,Diesel,2020-01-02,1,77
H089FG,Diesel,2020-01-02,1,78
VDS68X,Diesel,2020-01-02,1,79
VDR47F,Diesel,2020-01-02,1,80
VDP54N,Diesel,2020-01-02,1,81
83BPD4,Diesel,2020-01-02,1,82
VDX21H,Diesel,2020-01-02,1,83
00BNZ4,Diesel,2020-01-02,1,84
VDS96R,Diesel,2020-01-02,1,85
DXK57P,Diesel,2020-01-02,1,86
V094XB,Diesel,2020-01-02,1,87
ZG146L,Diesel,2020-01-02,1,88
VDD50S,Diesel,2020-01-02,1,89
31BPD9,Diesel,2020-01-02,1,90
70BPB8,Diesel,2020-01-02,1,91
VDS06T,Diesel,2020-01-02,1,92
82BPD4,Diesel,2020-01-02,1,93
92BPD1,Diesel,2020-01-02,1,94
86BPB3,Diesel,2020-01-02,1,95
VDH39F,Diesel,2020-01-02,1,96
46BPD9,Diesel,2020-01-02,1,97
H854FF,Diesel,2020-01-02,1,98
VDS57L,Diesel,2020-01-02,1,99
58BPB3,Diesel,2020-01-02,1,100
60BNZ4,Diesel,2020-01-02,1,101
VDT45N,Diesel,2020-01-02,1,102
H501DJ,Diesel,2020-01-02,1,103
DXL68P,Diesel,2020-01-02,1,104
H247DP,Diesel,2020-01-02,1,105
VDN27T,Diesel,2020-01-02,1,106
VDL57P,Diesel,2020-01-02,1,107
VDV57S,Diesel,2020-01-02,1,108
50BPB7,Diesel,2020-01-02,1,109
H465DJ,Diesel,2020-01-02,1,110
96BPB8,Diesel,2020-01-02,1,111
VDP52N,Diesel,2020-01-02,1,112
VDX21J,Diesel,2020-01-02,1,113
26BPD2,Diesel,2020-01-02,1,114
XZ446B,Diesel,2020-01-02,1,115
VDR33T,Diesel,2020-01-02,1,116
G008ZN,Diesel,2020-01-02,1,117
VDP85L,Diesel,2020-01-02,1,118
VDV35H,Diesel,2020-01-02,1,119
68BPB8,Diesel,2020-01-02,1,120
05BPB8,Diesel,2020-01-02,1,121
VDV17S,Diesel,2020-01-02,1,122
VDR57H,Diesel,2020-01-02,1,123
67BPD9,Diesel,2020-01-02,1,124
VDR86X,Diesel,2020-01-02,1,125
11BPD7,Diesel,2020-01-02,1,126
51BNT9,Diesel,2020-01-02,1,127
VDR70L,Diesel,2020-01-02,1,128
64BPD9,Diesel,2020-01-02,1,129
50BPD4,Diesel,2020-01-02,1,130
VDD81R,Diesel,2020-01-02,1,131
V881ZV,Diesel,2020-01-02,1,132
81BNZ9,Diesel,2020-01-02,1,133
G167ZK,Diesel,2020-01-02,1,134
VBJ98X,Diesel,2020-01-02,1,135
H178DR,Diesel,2020-01-02,1,136
H120FG,Diesel,2020-01-02,1,137
39BPB9,Diesel,2020-01-02,1,138
24BPD9,Diesel,2020-01-02,1,139
10BPB2,Diesel,2020-01-02,1,140
38BPD5,Diesel,2020-01-02,1,141
92BNX5,Diesel,2020-01-02,1,142
62BNX8,Diesel,2020-01-02,1,143
49BPD4,Diesel,2020-01-02,1,144
G983DP,Diesel,2020-01-02,1,145
VDL16Z,Diesel,2020-01-02,1,146
G994XR,Diesel,2020-01-02,1,147
VDT68D,Diesel,2020-01-02,1,148
68BNZ4,Diesel,2020-01-02,1,149
18BPB8,Diesel,2020-01-02,1,150
VDN96S,Diesel,2020-01-02,1,151
H723FF,Diesel,2020-01-02,1,152
H946FF,Diesel,2020-01-02,1,153
59BNX8,Diesel,2020-01-02,1,154
V469TX,Diesel,2020-01-02,1,155
VDV96T,Diesel,2020-01-02,1,156
VDP07B,Diesel,2020-01-02,1,157
VDT05T,Diesel,2020-01-02,1,158
33BPB1,Diesel,2020-01-02,1,159
H745DD,Diesel,2020-01-02,1,160
VDT48J,Diesel,2020-01-02,1,161
VDS95G,Diesel,2020-01-02,1,162
55BNV9,Diesel,2020-01-02,1,163
VDV38T,Diesel,2020-01-02,1,164
VDX81J,Diesel,2020-01-02,1,165
H545DJ,Diesel,2020-01-02,1,166
VDS74T,Diesel,2020-01-02,1,167
VDS28T,Diesel,2020-01-02,1,168
G216ZL,Diesel,2020-01-02,1,169
VDL22J,Diesel,2020-01-02,1,170
VDV44N,Diesel,2020-01-02,1,171
H044BP,Diesel,2020-01-02,1,172
VDR38K,Diesel,2020-01-02,1,173
VDJ87V,Diesel,2020-01-02,1,174
VDS93Z,Diesel,2020-01-02,1,175
VDS24V,Diesel,2020-01-02,1,176
VDS78X,Diesel,2020-01-02,1,177
VDR67T,Diesel,2020-01-02,1,178
H562FD,Diesel,2020-01-02,1,179
V966ZX,Diesel,2020-01-02,1,180
G057ZR,Diesel,2020-01-02,1,181
VDP43F,Diesel,2020-01-02,1,182
VBS46X,Diesel,2020-01-02,1,183
G840VB,Diesel,2020-01-02,1,184
VDK65J,Diesel,2020-01-02,1,185
VDS94Z,Diesel,2020-01-02,1,186
VDX27G,Diesel,2020-01-02,1,187
H499BS,Diesel,2020-01-02,1,188
VDH61P,Diesel,2020-01-02,1,189
G915XL,Diesel,2020-01-02,1,190
VDS52L,Diesel,2020-01-02,1,191
VDX25G,Diesel,2020-01-02,1,192
VDN94S,Diesel,2020-01-02,1,193
G219XH,Diesel,2020-01-02,1,194
G838VB,Diesel,2020-01-02,1,195
H731DF,Diesel,2020-01-02,1,196
VDV03J,Diesel,2020-01-02,1,197
VDR74R,Diesel,2020-01-02,1,198
VDR87V,Diesel,2020-01-02,1,199
G587ZS,Diesel,2020-01-02,1,200
VDS97R,Diesel,2020-01-02,1,201
G832ZB,Diesel,2020-01-02,1,202
G477XR,Diesel,2020-01-02,1,203
VDX84N,Diesel,2020-01-02,1,204
VDT48H,Diesel,2020-01-02,1,205
VDK69J,Diesel,2020-01-02,1,206
VDT92N,Diesel,2020-01-02,1,207
VDT76R,Diesel,2020-01-02,1,208
VDR40B,Diesel,2020-01-02,1,209
VDG23S,Diesel,2020-01-02,1,210
VDT86J,Diesel,2020-01-02,1,211
VDT40N,Diesel,2020-01-02,1,212
G104ZN,Diesel,2020-01-02,1,213
G162XN,Diesel,2020-01-02,1,214
VDX78B,Diesel,2020-01-02,1,215
G230VP,Diesel,2020-01-02,1,216
G270ZT,Diesel,2020-01-02,1,217
VDS01L,Diesel,2020-01-02,1,218
VDS47T,Diesel,2020-01-02,1,219
VDL25G,Diesel,2020-01-02,1,220
G907VN,Diesel,2020-01-02,1,221
VDT73K,Diesel,2020-01-02,1,222
H015BL,Diesel,2020-01-02,1,223
VDS19R,Diesel,2020-01-02,1,224
VDK73J,Diesel,2020-01-02,1,225
VDT25Z,Diesel,2020-01-02,1,226
G437ZZ,Diesel,2020-01-02,1,227
VDT27B,Diesel,2020-01-02,1,228
G643RB,Diesel,2020-01-02,1,229
G776XP,Diesel,2020-01-02,1,230
G201ZX,Diesel,2020-01-02,1,231
H604DJ,Diesel,2020-01-02,1,232
VDV42P,Diesel,2020-01-02,1,233
VDT83V,Diesel,2020-01-02,1,234
VDP23D,Diesel,2020-01-02,1,235
VDS23K,Diesel,2020-01-02,1,236
VDS67V,Diesel,2020-01-02,1,237
H809BT,Diesel,2020-01-02,1,238
95BNZ8,Diesel,2020-01-02,1,239
H347BH,Diesel,2020-01-02,1,240
H739BZ,Diesel,2020-01-02,1,241
79BPD7,Diesel,2020-01-02,1,242
87BPD4,Diesel,2020-01-02,1,243
VDK66J,Diesel,2020-01-02,1,244
VDT55N,Diesel,2020-01-02,1,245
VDP02R,Diesel,2020-01-02,1,246
29BNZ9,Diesel,2020-01-02,1,247
VDB44F,Diesel,2020-01-02,1,248
VDV96D,Diesel,2020-01-02,1,249
11BNZ9,Diesel,2020-01-02,1,250
VDX29R,Diesel,2020-01-02,1,251
H598BP,Diesel,2020-01-02,1,252
69BPB7,Diesel,2020-01-02,1,253
H813FF,Diesel,2020-01-02,1,254
VDR65R,Diesel,2020-01-02,1,255
H611DF,Diesel,2020-01-02,1,256
04BNZ6,Diesel,2020-01-02,1,257
G009ZN,Diesel,2020-01-02,1,258
VBK49N,Diesel,2020-01-02,1,259
85BNV3,Diesel,2020-01-02,1,260
VDX18B,Diesel,2020-01-02,1,261
VDK74J,Diesel,2020-01-02,1,262
96BNZ8,Diesel,2020-01-02,1,263
VDV58Z,Diesel,2020-01-02,1,264
G992XP,Diesel,2020-01-02,1,265
H255FF,Diesel,2020-01-02,1,266
VDT36J,Diesel,2020-01-02,1,267
VDJ18L,Diesel,2020-01-02,1,268
VDS11V,Diesel,2020-01-02,1,269
H872DK,Diesel,2020-01-02,1,270
40BPB9,Diesel,2020-01-02,1,271
G872RV,Diesel,2020-01-02,1,272
VDR50S,Diesel,2020-01-02,1,273
34BPD9,Diesel,2020-01-02,1,274
VDP77T,Diesel,2020-01-02,1,275
H888BN,Diesel,2020-01-02,1,276
G802RX,Diesel,2020-01-02,1,277
H717FF,Diesel,2020-01-02,1,278
VDR11Z,Diesel,2020-01-02,1,279
H023FG,Diesel,2020-01-02,1,280
VDX32D,Diesel,2020-01-02,1,281
VDG06L,Diesel,2020-01-02,1,282
VDV07G,Diesel,2020-01-02,1,283
VDV83H,Diesel,2020-01-02,1,284
VDF68V,Diesel,2020-01-02,1,285
G552XS,Diesel,2020-01-02,1,286
G284TK,Diesel,2020-01-02,1,287
VDT60G,Diesel,2020-01-02,1,288
VDR66H,Diesel,2020-01-02,1,289
VDV56V,Diesel,2020-01-02,1,290
VDS14R,Diesel,2020-01-02,1,291
G282TK,Diesel,2020-01-02,1,292
H696BG,Diesel,2020-01-02,1,293
VDV45L,Diesel,2020-01-02,1,294
VDT39K,Diesel,2020-01-02,1,295
H801FF,Diesel,2020-01-02,1,296
VDV16D,Diesel,2020-01-02,1,297
VDS61T,Diesel,2020-01-02,1,298
VDL43T,Diesel,2020-01-02,1,299
VDS17R,Diesel,2020-01-02,1,300
VDN61G,Diesel,2020-01-02,1,301
H408DG,Diesel,2020-01-02,1,302
G420XP,Diesel,2020-01-02,1,303
G750TB,Diesel,2020-01-02,1,304
G551XS,Diesel,2020-01-02,1,305
H631DF,Diesel,2020-01-02,1,306
VDP16V,Diesel,2020-01-02,1,307
H990BR,Diesel,2020-01-02,1,308
VDL54L,Diesel,2020-01-02,1,309
VDX89P,Diesel,2020-01-02,1,310
G950ZT,Diesel,2020-01-02,1,311
VDT43N,Diesel,2020-01-02,1,312
H683FF,Diesel,2020-01-02,1,313
V280XK,Diesel,2020-01-02,1,314
59BNZ4,Diesel,2020-01-02,1,315
31BNZ2,Diesel,2020-01-02,1,316
10BPD7,Diesel,2020-01-02,1,317
G689XZ,Diesel,2020-01-02,1,318
H529BS,Diesel,2020-01-02,1,319
19BPD9,Diesel,2020-01-02,1,320
95BPB8,Diesel,2020-01-02,1,321
73BNV7,Diesel,2020-01-02,1,322
H933FF,Diesel,2020-01-02,1,323
H051FG,Diesel,2020-01-02,1,324
VDR96X,Diesel,2020-01-02,1,325
59BPD8,Diesel,2020-01-02,1,326
VDD67S,Diesel,2020-01-02,1,327
85BPD4,Diesel,2020-01-02,1,328
G553GF,Diesel,2020-01-02,1,329
VDT55G,Diesel,2020-01-02,1,330
41BPD7,Diesel,2020-01-02,1,331
ST414G,Diesel,2020-01-02,1,332
VDX06P,Diesel,2020-01-02,1,333
84BPD4,Diesel,2020-01-02,1,334
VDR44P,Diesel,2020-01-02,1,335
VDK61T,Diesel,2020-01-02,1,336
G665NR,Diesel,2020-01-02,1,337
29BPD9,Diesel,2020-01-02,1,338
86BPD4,Diesel,2020-01-02,1,339
H047FG,Diesel,2020-01-02,1,340
VDS07T,Diesel,2020-01-02,1,341
VDT82R,Diesel,2020-01-02,1,342
G643VR,Diesel,2020-01-02,1,343
46BNZ1,Diesel,2020-01-02,1,344
H966FB,Diesel,2020-01-02,1,345
G897TT,Diesel,2020-01-02,1,346
VDT24L,Diesel,2020-01-02,1,347
G675XZ,Diesel,2020-01-02,1,348
46BPB5,Diesel,2020-01-02,1,349
DXB18X,Diesel,2020-01-02,1,350
G274RS,Diesel,2020-01-02,1,351
VDD35N,Diesel,2020-01-02,1,352
VDP89B,Diesel,2020-01-02,1,353
VDV84G,Diesel,2020-01-02,1,354
10BPD3,Diesel,2020-01-02,1,355
VDJ25R,Diesel,2020-01-02,1,356
97BPD3,Diesel,2020-01-02,1,357
79BPD4,Diesel,2020-01-02,1,358
VDL51S,Diesel,2020-01-02,1,359
H973FF,Diesel,2020-01-02,1,360
V205ZH,Diesel,2020-01-02,1,361
H668FF,Diesel,2020-01-02,1,362
01BPD6,Diesel,2020-01-02,1,363
61BNZ4,Diesel,2020-01-02,1,364
VDT80R,Diesel,2020-01-02,1,365
53BPD4,Diesel,2020-01-02,1,366
36BPD7,Diesel,2020-01-02,1,367
H264FF,Diesel,2020-01-02,1,368
VBV87S,Diesel,2020-01-02,1,369
86BNV3,Diesel,2020-01-02,1,370
H445BR,Diesel,2020-01-02,1,371
39BPD9,Diesel,2020-01-02,1,372
VDS22V,Diesel,2020-01-02,1,373
VDR89K,Diesel,2020-01-02,1,374
G775LG,Diesel,2020-01-02,1,375
VDV74K,Diesel,2020-01-02,1,376
50BPD9,Diesel,2020-01-02,1,377
VDT72J,Diesel,2020-01-02,1,378
H633DJ,Diesel,2020-01-02,1,379
H366BZ,Diesel,2020-01-02,1,380
G341ZT,Diesel,2020-01-02,1,381
82BNZ6,Diesel,2020-01-02,1,382
83BPB6,Diesel,2020-01-02,1,383
89BNX9,Diesel,2020-01-02,1,384
39BNZ9,Diesel,2020-01-02,1,385
17BPB2,Diesel,2020-01-02,1,386
VBS10B,Diesel,2020-01-02,1,387
ZG432T,Diesel,2020-01-02,1,388
71BPB8,Diesel,2020-01-02,1,389
43BPD9,Diesel,2020-01-02,1,390
VDV71Z,Diesel,2020-01-02,1,391
VDT64J,Diesel,2020-01-02,1,392
H936FF,Diesel,2020-01-02,1,393
VDP84B,Diesel,2020-01-02,1,394
VDS15R,Diesel,2020-01-02,1,395
G856ZG,Diesel,2020-01-02,1,396
VDT25K,Diesel,2020-01-02,1,397
VDN73F,Diesel,2020-01-02,1,398
VDV94N,Diesel,2020-01-02,1,399
VDP21D,Diesel,2020-01-02,1,400
G031ZN,Diesel,2020-01-02,1,401
