Kenteken,Brandstof omschrijving,Datum eerste afgifte Nederland,cumhelp,Cumulative
89BNZ8,LNG,2020-01-02,1,1
87BNZ8,LNG,2020-01-02,1,2
85BNZ8,LNG,2020-01-02,1,3
98BPD7,LNG,2020-01-02,1,4
90BNZ8,LNG,2020-01-02,1,5
40BNZ9,LNG,2020-01-02,1,6
43BPD6,LNG,2020-01-03,1,7
12BPD7,LNG,2020-01-03,1,8
31BPB4,LNG,2020-01-07,1,9
30BPB4,LNG,2020-01-08,1,10
26BPF3,LNG,2020-01-08,1,11
10BPF4,LNG,2020-01-09,1,12
20BPD6,LNG,2020-01-13,1,13
70BPD6,LNG,2020-01-13,1,14
72BPD6,LNG,2020-01-13,1,15
46BPF8,LNG,2020-01-16,1,16
64BPF6,LNG,2020-01-16,1,17
00BPF3,LNG,2020-01-17,1,18
01BPF3,LNG,2020-01-17,1,19
67BPF6,LNG,2020-01-17,1,20
12BNX4,LNG,2020-02-03,1,21
16BPG4,LNG,2020-02-05,1,22
45BPG6,LNG,2020-02-05,1,23
17BPF5,LNG,2020-02-07,1,24
17BPH2,LNG,2020-02-10,1,25
18BPH2,LNG,2020-02-10,1,26
50BPG6,LNG,2020-02-12,1,27
10BPH1,LNG,2020-02-19,1,28
69BPH8,LNG,2020-02-28,1,29
99BPG3,LNG,2020-03-02,1,30
81BPG9,LNG,2020-03-06,1,31
82BPG9,LNG,2020-03-10,1,32
70BPK4,LNG,2020-03-18,1,33
68BPK4,LNG,2020-03-18,1,34
94BPK2,LNG,2020-03-18,1,35
08BPJ7,LNG,2020-03-18,1,36
22BPJ6,LNG,2020-03-18,1,37
21BPJ6,LNG,2020-03-18,1,38
24BPJ6,LNG,2020-03-18,1,39
20BPJ6,LNG,2020-03-18,1,40
09BPJ7,LNG,2020-03-18,1,41
06BPJ7,LNG,2020-03-18,1,42
07BPJ7,LNG,2020-03-18,1,43
88BPK1,LNG,2020-03-19,1,44
90BPK1,LNG,2020-03-19,1,45
89BPK1,LNG,2020-03-19,1,46
85BPK1,LNG,2020-03-19,1,47
87BPK1,LNG,2020-03-19,1,48
71BPJ7,LNG,2020-03-23,1,49
01BPJ9,LNG,2020-03-23,1,50
94BPK1,LNG,2020-03-24,1,51
91BPK1,LNG,2020-03-24,1,52
86BPK1,LNG,2020-03-24,1,53
93BPK1,LNG,2020-03-24,1,54
92BPK1,LNG,2020-03-24,1,55
40BPH7,LNG,2020-03-27,1,56
11BPK8,LNG,2020-03-27,1,57
98BPK3,LNG,2020-03-30,1,58
02BPK4,LNG,2020-03-30,1,59
99BPK3,LNG,2020-03-30,1,60
00BPK4,LNG,2020-03-30,1,61
97BPK3,LNG,2020-03-30,1,62
94BNZ2,LNG,2020-03-31,1,63
79BPK7,LNG,2020-04-01,1,64
89BPJ6,LNG,2020-04-03,1,65
