Kenteken,Brandstof omschrijving,Datum eerste afgifte Nederland,cumhelp,Cumulative
H051DH,Waterstof,2020-01-08,1,1
V868TV,Waterstof,2020-01-08,1,2
VDX72S,Waterstof,2020-01-08,1,3
H980BB,Waterstof,2020-01-10,1,4
H984BB,Waterstof,2020-01-10,1,5
H987BB,Waterstof,2020-01-10,1,6
H986BB,Waterstof,2020-01-10,1,7
H794FN,Waterstof,2020-01-10,1,8
H793FN,Waterstof,2020-01-10,1,9
H792FN,Waterstof,2020-01-10,1,10
H728FD,Waterstof,2020-01-10,1,11
G778ZR,Waterstof,2020-01-10,1,12
VDZ55H,Waterstof,2020-01-13,1,13
VDZ54H,Waterstof,2020-01-13,1,14
H346FP,Waterstof,2020-01-18,1,15
H835FX,Waterstof,2020-01-25,1,16
H837HV,Waterstof,2020-02-13,1,17
H914KL,Waterstof,2020-02-21,1,18
H620JX,Waterstof,2020-02-21,1,19
H395JD,Waterstof,2020-02-22,1,20
19BPJ1,Waterstof,2020-02-25,1,21
H725KF,Waterstof,2020-02-28,1,22
H296KV,Waterstof,2020-02-29,1,23
H295KV,Waterstof,2020-03-06,1,24
H727KF,Waterstof,2020-03-06,1,25
H732KF,Waterstof,2020-03-06,1,26
H729KF,Waterstof,2020-03-06,1,27
H726KF,Waterstof,2020-03-06,1,28
H731KF,Waterstof,2020-03-06,1,29
H728KF,Waterstof,2020-03-06,1,30
H730KF,Waterstof,2020-03-06,1,31
G627DL,Waterstof,2020-03-18,1,32
H966NS,Waterstof,2020-03-20,1,33
H388PL,Waterstof,2020-03-27,1,34
H721KF,Waterstof,2020-03-30,1,35
H387PL,Waterstof,2020-04-06,1,36
H644RF,Waterstof,2020-04-10,1,37
VFT38V,Waterstof,2020-04-22,1,38
H435PP,Waterstof,2020-04-28,1,39
H434PP,Waterstof,2020-04-28,1,40
VDS57P,Waterstof,2020-05-01,1,41
H374SZ,Waterstof,2020-05-13,1,42
H373SZ,Waterstof,2020-05-13,1,43
H030TG,Waterstof,2020-05-22,1,44
H950VJ,Waterstof,2020-05-28,1,45
H987VX,Waterstof,2020-06-10,1,46
H988VX,Waterstof,2020-06-10,1,47
H970XF,Waterstof,2020-06-12,1,48
H969XF,Waterstof,2020-06-16,1,49
H489XV,Waterstof,2020-06-18,1,50
H642RF,Waterstof,2020-06-19,1,51
H086XX,Waterstof,2020-06-19,1,52
H965SF,Waterstof,2020-06-22,1,53
H966SF,Waterstof,2020-06-22,1,54
H964SF,Waterstof,2020-06-22,1,55
H027ZJ,Waterstof,2020-06-24,1,56
H621SL,Waterstof,2020-06-27,1,57
H369VL,Waterstof,2020-07-02,1,58
H560ZZ,Waterstof,2020-07-03,1,59
